tracking_id,entry_time,exit_time,total_duration_sec,category_showroom,zoneA_duration_sec,zoneB_duration_sec,zoneC_duration_sec
s1_105,2026-03-13 13:46:20,2026-03-13 13:46:28,8.92,bounce_off,0.0,0.0,0.0
s1_62,2026-03-13 13:44:38,2026-03-13 13:46:34,116.16,engager,111.19,0.0,0.0
s1_72,2026-03-13 13:45:17,2026-03-13 13:47:12,114.45,engager,24.7,0.0,0.0
s1_112,2026-03-13 13:46:52,2026-03-13 13:47:12,19.4,bounce_off,0.0,0.0,0.0
s1_93,2026-03-13 13:45:41,2026-03-13 13:47:19,98.04,engager,0.0,0.0,0.0
s1_118,2026-03-13 13:47:21,2026-03-13 13:47:23,2.16,bounce_off,0.0,0.0,0.0
s1_117,2026-03-13 13:47:19,2026-03-13 13:47:23,4.34,bounce_off,0.0,0.0,0.0
s1_114,2026-03-13 13:47:09,2026-03-13 13:47:31,22.29,bounce_off,0.0,0.0,0.0
s1_106,2026-03-13 13:46:22,2026-03-13 13:47:33,71.32,engager,68.17,0.0,0.0
s1_52,2026-03-13 13:44:27,2026-03-13 13:47:37,190.82,prospect,103.5,0.0,0.0
s1_121,2026-03-13 13:47:25,2026-03-13 13:47:42,16.41,bounce_off,0.0,0.0,0.0
s1_116,2026-03-13 13:47:12,2026-03-13 13:47:44,31.69,engager,6.79,0.0,0.0
s1_133,2026-03-13 13:47:37,2026-03-13 13:47:58,20.23,bounce_off,0.0,0.0,0.0
s1_139,2026-03-13 13:47:58,2026-03-13 13:48:03,5.41,bounce_off,0.0,0.0,0.0
s1_142,2026-03-13 13:48:03,2026-03-13 13:48:09,6.05,bounce_off,0.0,0.0,0.0
s1_145,2026-03-13 13:48:11,2026-03-13 13:48:19,7.82,bounce_off,0.0,0.0,0.0
s1_150,2026-03-13 13:48:20,2026-03-13 13:48:24,3.82,bounce_off,0.0,0.0,0.0
s1_126,2026-03-13 13:47:29,2026-03-13 13:48:30,61.84,engager,17.13,0.0,0.0
s1_158,2026-03-13 13:48:35,2026-03-13 13:48:42,7.15,bounce_off,0.25,0.0,0.0
s1_120,2026-03-13 13:47:24,2026-03-13 13:48:44,80.17,engager,71.57,0.0,0.0
s1_160,2026-03-13 13:48:36,2026-03-13 13:48:49,12.92,bounce_off,4.9,0.0,0.0
s1_153,2026-03-13 13:48:24,2026-03-13 13:48:50,26.24,bounce_off,0.0,0.0,0.0
s1_165,2026-03-13 13:48:52,2026-03-13 13:49:00,7.2,bounce_off,0.0,0.0,0.0
s1_164,2026-03-13 13:48:49,2026-03-13 13:49:00,10.7,bounce_off,6.61,0.0,0.0
s1_154,2026-03-13 13:48:28,2026-03-13 13:49:01,33.51,engager,13.85,0.0,0.0
s1_169,2026-03-13 13:49:01,2026-03-13 13:49:07,6.0,bounce_off,1.26,0.0,0.0
s1_168,2026-03-13 13:49:00,2026-03-13 13:49:14,14.66,bounce_off,0.0,0.0,0.0
s1_149,2026-03-13 13:48:24,2026-03-13 13:49:21,56.44,engager,0.0,0.0,0.0
s1_175,2026-03-13 13:49:17,2026-03-13 13:49:26,8.87,bounce_off,0.0,0.0,0.0
s1_111,2026-03-13 13:46:34,2026-03-13 13:49:27,173.32,prospect,125.76,0.0,0.0
s1_180,2026-03-13 13:49:28,2026-03-13 13:49:33,4.96,bounce_off,0.0,0.0,0.0
s1_184,2026-03-13 13:49:33,2026-03-13 13:49:38,5.4,bounce_off,0.0,0.0,0.0
s1_178,2026-03-13 13:49:27,2026-03-13 13:49:44,16.61,bounce_off,10.09,0.0,0.0
s1_182,2026-03-13 13:49:30,2026-03-13 13:49:44,14.5,bounce_off,0.0,0.0,0.0
s1_188,2026-03-13 13:49:49,2026-03-13 13:49:56,6.5,bounce_off,0.0,0.0,0.0
s1_187,2026-03-13 13:49:48,2026-03-13 13:49:57,9.3,bounce_off,0.0,0.0,0.0
s1_189,2026-03-13 13:49:50,2026-03-13 13:49:57,7.31,bounce_off,0.0,0.0,0.0
s1_192,2026-03-13 13:49:54,2026-03-13 13:49:57,3.57,bounce_off,0.0,0.0,0.0
s1_147,2026-03-13 13:48:16,2026-03-13 13:50:00,104.45,engager,15.9,0.0,0.0
s1_194,2026-03-13 13:49:56,2026-03-13 13:50:03,6.69,bounce_off,0.0,0.0,0.0
s1_196,2026-03-13 13:49:57,2026-03-13 13:50:03,5.46,bounce_off,0.0,0.0,0.0
s1_203,2026-03-13 13:50:03,2026-03-13 13:50:09,6.74,bounce_off,0.0,0.0,0.0
s1_205,2026-03-13 13:50:04,2026-03-13 13:50:09,5.56,bounce_off,0.0,0.0,0.0
